客户号,客户姓名,证件号码,年龄,性别,婚姻状态,教育程度,职业类别,户籍,居住类型,车辆情况,保险缴纳,工作年限,个人年收入,信贷情况
0000999941960814,王晓丽,469127****04051074,,女,未婚,本科,私营企业,海南,租房,无,有,22,10000,没有贷款记录
0000999941967060,于星,510095****07264140,21,男,未婚,大专,外资企业,四川,租房,无,无,1,10000,没有贷款记录
0000999941980401,何伦军,123355****08034986,22,女,未婚,大专,私营企业,天津,租房,无,无,2,10000,没有贷款记录
0000999963835873,詹茜茜,318268****05122232,25,男,未婚,本科,个体户,上海,租房,有,有,2,5700000000,现在没有贷款
0000999973835875,鲍思,542433****03107248,25,男,未婚,本科,私营企业,西藏,自购房,有,有,2,6800000000,正常还款
0000999983959391,谭萌蓓,365607****07132924,25,女,未婚,本科,私营企业,江西,租房,有,有,2,99000000000,正在偿还
0000999983959392,阎飞馅,614314****11089676,32,男,未婚,本科,私营企业,陕西,租房,无,有,9,99000000000,现在没有贷款
0000999983959393,李莲,132909****11072577,52,女,未婚,本科,私营企业,河北,租房,无,有,29,99000000000,正常还款
0000999983984984,李呈瓜,427981****08076473,32,男,未婚,大专,私营企业,湖北,租房,无,无,12,10000,没有贷款记录
0000999984412439,舒付星,501858****12251141,41,女,已婚,本科,个体户,重庆,租房,无,有,18,10000,没有贷款记录
0000999993800103,文站暖,502231****10099197,56,男,未婚,大专,私营企业,重庆,其他,无,无,36,10000,没有贷款记录
0000999993800114,叶桥,501948****01293931,33,男,未婚,高中,个体户,重庆,租房,无,无,15,10000,没有贷款记录
0000999993800125,周高垢,516416****08306383,34,男,未婚,本科,国有企业,四川,租房,无,有,11,10000,没有贷款记录
0000999993800136,仇窗,451519****03287759,35,男,已婚,本科,私营企业,广西,其他,无,有,12,10000,没有贷款记录
0000999993800147,饶季曲,313972****11181266,36,男,未婚,初中及以下,私营企业,上海,其他,无,无,22,10000,没有贷款记录
0000999993800158,姚图汗,640523****10189997,31,女,已婚,高中,外资企业,宁夏,,无,无,13,10000,还在拖欠
0000999993800169,张伟,460018****03147804,42,女,已婚,初中及以下,私营企业,海南,其他,无,无,14,10000,还在拖欠
0000999993800170,王伟,366603****05282009,29,男,未婚,高中,外资企业,江西,租房,无,无,11,10000,没有贷款记录
0000999993800181,王芳,622050****05158423,23,男,未婚,高中,私营企业,甘肃,租房,无,无,5,10000,没有贷款记录
0000999993800192,李伟,340003****10014310,28,男,已婚,大专,国有企业,安徽,租房,无,无,8,10000,没有贷款记录
0000999993800205,万聪,538518****12026672,55,女,已婚,本科,私营企业,贵州,租房,无,有,32,10192,没有贷款记录
0000999993800216,邢炎娇,431851****10317891,24,男,未婚,本科,个体户,湖南,租房,无,有,1,10192,没有贷款记录
0000999993800227,景飞蒙,647096****01026247,23,男,未婚,本科,私营企业,宁夏,自购房,有,有,0,10192,现在没有贷款
0000999993800238,韦苛迪,365596****10055089,24,男,未婚,本科,国有企业,江西,租房,无,有,1,10192,现在没有贷款
0000999993800249,吉金怡,657797****12310192,28,男,未婚,本科,私营企业,新疆,租房,无,有,5,10192,现在没有贷款
0000999993800250,吕坠琪,213160****08027459,24,女,未婚,初中及以下,私营企业,辽宁,租房,无,无,13,10280,逾期还款
0000999993800261,耿衫图,210705****04165516,26,男,未婚,初中及以下,其他企业,辽宁,其他,无,无,9,10280,逾期还款
0000999993800272,饶进仔,527503****04187788,27,男,未婚,高中,私营企业,上海,租房,无,无,9,10280,逾期还款
